,a classifier,au PR 1,a classifier,au PR 2,a classifier,au PR 3,a classifier,au PR 4,a classifier,au PR 5,a classifier,au PR 6
0,LogR,0.9553882084516548,LogR,0.9832546127590975,LogR,0.9478173012198118,LogR,0.9690856922400828,LogR,0.9784185018792968,LogR,0.9768911593350211
1,gNB,0.9502993746734244,gNB,0.9683135826435021,gNB,0.9383819789000568,gNB,0.9555543717370856,gNB,0.9537977129460194,gNB,0.965843321144795
2,SVM,0.9379525301750373,SVM,0.968335339026355,SVM,0.9528776994983321,SVM,0.9629713597891192,SVM,0.9749796561583282,SVM,0.9786968580879006
3,DT,0.9212968474192286,DT,0.9368611271587157,DT,0.9218415867801979,DT,0.9298163480557328,DT,0.9600351163010175,DT,0.9671378054094544
4,RF,0.9469499323938233,RF,0.9577335405564084,RF,0.9456599756352494,RF,0.9558474525766553,RF,0.9719164675644688,RF,0.9724362742774071
5,KNN,0.9421936808752844,KNN,0.9567281238896691,KNN,0.941135189822471,KNN,0.9535160523061963,KNN,0.9730954133464836,KNN,0.9626243851978502
6,LDA,0.9589228379132104,LDA,0.9823097884482656,LDA,0.9413383717054186,LDA,0.9689307242391736,LDA,0.9787052331446335,LDA,0.9782025546969596
7,mNB,0.924025259914656,mNB,0.9427967865240737,mNB,0.9149043514114361,mNB,0.9548556728183932,mNB,0.9524322339090697,mNB,0.9488114105219738
8,ABC,0.9599416682122679,ABC,0.982449170601827,ABC,0.9506686798253396,ABC,0.9680263528470698,ABC,0.9753045718073399,ABC,0.9746571676230857
9,GBC,0.9637720789787203,GBC,0.9810946814747441,GBC,0.9541891160613643,GBC,0.9707852233557366,GBC,0.9764030466120512,GBC,0.9793803669985995
10,ETC,0.9443822596291437,ETC,0.9453203602289751,ETC,0.937715147380699,ETC,0.9369952232379746,ETC,0.9667751081196047,ETC,0.9667769079329774
11,BC,0.9509711617580643,BC,0.9581216334401788,BC,0.9478536416102009,BC,0.9530904159228317,BC,0.9675030990898711,BC,0.9723069736789252
