,a classifier,au ROC 1,a classifier,au ROC 2,a classifier,au ROC 3,a classifier,au ROC 4,a classifier,au ROC 5,a classifier,au ROC 6
0,LogR,0.9719235080652823,LogR,0.988296315999468,LogR,0.9665110518292683,LogR,0.9753334603658537,LogR,0.9895483993902439,LogR,0.9835282325425994
1,gNB,0.9669408925958999,gNB,0.9812570060608363,gNB,0.9601467225609757,gNB,0.9716653963414634,gNB,0.9781916920731707,gNB,0.9813230872034747
2,SVM,0.9482881462200521,SVM,0.9744646894533848,SVM,0.9729801829268293,SVM,0.968673780487805,SVM,0.9785918445121953,SVM,0.981580831463892
3,DT,0.9369929511903178,DT,0.9444739992020217,DT,0.9249285442073172,DT,0.9317549542682927,DT,0.9740377286585364,DT,0.9750369910744117
4,RF,0.9589848574088501,RF,0.9677483707939885,RF,0.9631192835365854,RF,0.966796875,RF,0.9855945121951218,RF,0.9767457400601403
5,KNN,0.9467396880284232,KNN,0.9584481219007086,KNN,0.9497522865853658,KNN,0.9520674542682926,KNN,0.9802353277439024,KNN,0.9637153357834948
6,LDA,0.9725504911367394,LDA,0.9875363365189139,LDA,0.9629382621951219,LDA,0.9754763719512196,LDA,0.9897865853658536,LDA,0.9851415206911365
7,mNB,0.9358529819694869,mNB,0.9531377652803376,mNB,0.9403010670731707,mNB,0.9578887195121951,mNB,0.9640339176829269,mNB,0.953849458259749
8,ABC,0.9730634772861134,ABC,0.9870043508825261,ABC,0.9649485518292682,ABC,0.9740663109756097,ABC,0.9890005716463415,ABC,0.9808457830175169
9,GBC,0.9732724716432656,GBC,0.988163319590371,GBC,0.9680830792682926,GBC,0.9770388719512195,GBC,0.9868807164634147,GBC,0.9848169538446852
10,ETC,0.9586286170273404,ETC,0.9572464043470825,ETC,0.947022675304878,ETC,0.9445407774390244,ETC,0.9801543445121952,ETC,0.9750704023674287
11,BC,0.9601010772709138,BC,0.9681141109190052,BC,0.9589272103658536,BC,0.9589796112804877,BC,0.9834556021341464,BC,0.976545272302038
