,classifier,tr_precision1,tr_recall1,tr_f1 1,classifier,tr_precision2,tr_recall2,tr_f1 2,classifier,tr_precision3,tr_recall3,tr_f1 3,classifier,tr_precision4,tr_recall4,tr_f1 4,classifier,tr_precision5,tr_recall5,tr_f1 5,classifier,tr_precision6,tr_recall6,tr_f1 6
0,LogR,0.815852814397634,0.561200042065027,0.5365268732673616,LogR,0.8202568110580976,0.5596416547406219,0.5335890410958904,LogR,0.8227550891986282,0.5625009758042436,0.5383709363051219,LogR,0.826278985621244,0.5631833723718498,0.5393888614731371,LogR,0.8384435023856094,0.5629918291388666,0.5385099113325275,LogR,0.8236390101892286,0.5634757558432106,0.5400432478503312
1,gNB,0.7985154993320429,0.5667507967207568,0.5469926147152009,gNB,0.8220373425135672,0.5615909724794133,0.5369108415849474,gNB,0.8060679043897875,0.567265756525322,0.5473906099142711,gNB,0.8278662127346338,0.5651307920407884,0.5426752835386219,gNB,0.8400598528617149,0.5654261037250399,0.5426386068066931,gNB,0.8019722977048025,0.5678502176953301,0.5486222780569514
2,SVM,0.8031093245081307,0.5666543977004452,0.5465855765169203,SVM,0.8220373425135672,0.5615909724794133,0.5369108415849474,SVM,0.8044759944382345,0.5680439247094198,0.5487969465815247,SVM,0.8226932052778027,0.5657134185745147,0.5439169916902711,SVM,0.8343888592025588,0.5660087302587662,0.5438872370759416,SVM,0.8231452853607236,0.5662014201394255,0.5447570231440929
3,DT,0.8031093245081307,0.5666543977004452,0.5465855765169203,DT,0.8247739018087855,0.5612991082519085,0.5362739146667121,DT,0.8226932052778027,0.5657134185745147,0.5439169916902711,DT,0.8305591147350029,0.5648394787739253,0.5420511112179456,DT,0.8400598528617149,0.5654261037250399,0.5426386068066931,DT,0.8231452853607236,0.5662014201394255,0.5447570231440929
4,RF,0.8031093245081307,0.5666543977004452,0.5465855765169203,RF,0.8220373425135672,0.5615909724794133,0.5369108415849474,RF,0.8060679043897875,0.567265756525322,0.5473906099142711,RF,0.8034718632620008,0.5670702148749505,0.5471915427490179,RF,0.8400598528617149,0.5654261037250399,0.5426386068066931,RF,0.8231452853607236,0.5662014201394255,0.5447570231440929
5,KNN,0.8172499869787397,0.5626620303691207,0.5390015070751129,KNN,0.821156330749354,0.5606163136100176,0.5352524915712644,KNN,0.823180250676514,0.5629878307214783,0.5391951172992562,KNN,0.826278985621244,0.5631833723718498,0.5393888614731371,KNN,0.8384435023856094,0.5629918291388666,0.5385099113325275,KNN,0.7993645219281742,0.5654159431091568,0.5446025104602511
6,LDA,0.8031093245081307,0.5666543977004452,0.5465855765169203,LDA,0.8220373425135672,0.5615909724794133,0.5369108415849474,LDA,0.8060679043897875,0.567265756525322,0.5473906099142711,LDA,0.8278662127346338,0.5651307920407884,0.5426752835386219,LDA,0.811351835398562,0.5676568398260651,0.5477891634267756,LDA,0.8252828488911264,0.5654231755121493,0.5433223681745634
7,mNB,0.8031093245081307,0.5666543977004452,0.5465855765169203,mNB,0.7994097740834543,0.5632430916575603,0.5409164104816279,mNB,0.8060679043897875,0.567265756525322,0.5473906099142711,mNB,0.8034718632620008,0.5670702148749505,0.5471915427490179,mNB,0.811351835398562,0.5676568398260651,0.5477891634267756,mNB,0.8019722977048025,0.5678502176953301,0.5486222780569514
8,ABC,0.8181583524306448,0.5636366892385163,0.5406449851303584,ABC,0.8220373425135672,0.5615909724794133,0.5369108415849474,ABC,0.8248400302509034,0.5649352503904169,0.5424793089002865,ABC,0.8278662127346338,0.5651307920407884,0.5426752835386219,ABC,0.811351835398562,0.5676568398260651,0.5477891634267756,ABC,0.8252828488911264,0.5654231755121493,0.5433223681745634
9,GBC,0.8031093245081307,0.5666543977004452,0.5465855765169203,GBC,0.8220373425135672,0.5615909724794133,0.5369108415849474,GBC,0.8226932052778027,0.5657134185745147,0.5439169916902711,GBC,0.8278662127346338,0.5651307920407884,0.5426752835386219,GBC,0.8400598528617149,0.5654261037250399,0.5426386068066931,GBC,0.8231452853607236,0.5662014201394255,0.5447570231440929
10,ETC,0.8031093245081307,0.5666543977004452,0.5465855765169203,ETC,0.8247739018087855,0.5612991082519085,0.5362739146667121,ETC,0.8226932052778027,0.5657134185745147,0.5439169916902711,ETC,0.8305591147350029,0.5648394787739253,0.5420511112179456,ETC,0.8400598528617149,0.5654261037250399,0.5426386068066931,ETC,0.8231452853607236,0.5662014201394255,0.5447570231440929
11,BC,0.7985154993320429,0.5667507967207568,0.5469926147152009,BC,0.8220373425135672,0.5615909724794133,0.5369108415849474,BC,0.8044759944382345,0.5680439247094198,0.5487969465815247,BC,0.8252451630002651,0.5654221053076516,0.5432972399838374,BC,0.8343888592025588,0.5660087302587662,0.5438872370759416,BC,0.830220484252799,0.5643535411748315,0.5412546900642139
